lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.495000000000005,13.385,78.0,328.0,4.205128205128205,12.513034153846153,35.0,64.0,93.0,15.0
52.495000000000005,13.39,346.0,1744.54,5.042023121387283,14.89985547398844,235.0,303.0,416.0,70.0
52.495000000000005,13.395,102.0,527.74,5.173921568627451,20.54656864705882,84.0,84.0,164.0,62.0
52.495000000000005,13.4,33.0,211.31,6.403333333333333,15.632323303030303,29.0,30.0,39.0,6.0
52.495000000000005,13.405000000000001,24.0,123.52,5.1466666666666665,17.337500000000002,23.0,21.0,36.0,12.0
52.495000000000005,13.41,26.0,133.09,5.118846153846154,20.33717946153846,24.0,25.0,26.0,0.0
52.495000000000005,13.415000000000001,270.0,1138.17,4.2154444444444445,14.1582099,177.0,220.0,355.0,85.0
52.495000000000005,13.42,553.0,3103.0099999999998,5.611229656419529,13.698734189873418,386.0,460.0,660.0,107.0
52.495000000000005,13.425,240.0,1277.45,5.322708333333334,14.281250004166667,201.0,209.0,301.0,61.0
52.495000000000005,13.43,321.0,1811.89,5.644517133956387,12.079698862928348,241.0,268.0,394.0,73.0
52.495000000000005,13.435,322.0,1931.19,5.99748447204969,12.495755686335404,240.0,250.0,333.0,11.0
52.495000000000005,13.44,337.0,1978.32,5.870385756676558,13.502670602373888,271.0,267.0,328.0,-9.0
52.495000000000005,13.445,104.0,557.09,5.356634615384616,14.647435865384615,79.0,95.0,123.0,19.0
52.495000000000005,13.450000000000001,844.0,5178.86,6.136090047393364,15.216962880331753,637.0,760.0,717.0,-127.0
52.495000000000005,13.455,262.0,1321.4,5.04351145038168,12.475763366412213,197.0,234.0,324.0,62.0
